Id,nodeType,status,region,longitude,latitude,attacked
98072,controller,orange,NW,-122.10205,47.758786,true
98073,infrastructure,blue,NW,-121.803388,47.432251,true
98074,controller,blue,NW,-122.045347,47.625364,true
98075,infrastructure,blue,NW,-122.033685,47.584879,true
98082,controller,orange,NW,-121.803388,47.432251,true
98367,infrastructure,blue,NW,-122.66335,47.470971,true
10122,controller,blue,NE,-73.992171,40.751757,true
10124,infrastructure,blue,NE,-73.977182,40.780751,true
10125,controller,blue,NE,-73.977182,40.780751,true
10131,infrastructure,yellow,NE,-73.977182,40.780751,true
10132,controller,green,NE,-73.977182,40.780751,true
10133,infrastructure,green,NE,-73.977182,40.780751,true
33109,controller,green,SE,-80.13907,25.759474,true
33102,infrastructure,green,SE,-80.458168,25.558428,true
33101,controller,green,SE,-80.19782,25.779076,true
33110,infrastructure,green,SE,-80.20827,25.846874,true
33111,controller,green,SE,-80.458168,25.558428,true
33114,infrastructure,green,SE,-80.458168,25.558428,true
76547,infrastructure,yellow,S,-97.492017,31.036287,false
75954,controller,green,S,-94.05761,31.95015,false
46382,controller,green,OV,-86.77328,41.479916,false
95642,infrastructure,green,W,-120.75324,38.359772,false
12852,controller,green,NE,-74.15321,43.972307,false
39320,infrastructure,green,SE,-88.72639,32.535472,false
29922,infrastructure,green,SE,-81.24035,32.593295,false
27356,infrastructure,green,SE,-79.78487,35.414095,false
68970,controller,green,MT,-98.52808,40.090341,false
44143,controller,orange,OV,-81.48175,41.550318,false
85671,controller,green,SW,-109.754263,31.880077,false
46554,infrastructure,green,OV,-86.42047,41.547845,false
56626,controller,green,C,-94.245,47.340327,false
48867,infrastructure,green,OV,-84.17896,42.99605,false
30253,infrastructure,green,SE,-84.17215,33.455031,false
30442,infrastructure,green,SE,-81.98381,32.802448,false
98224,infrastructure,green,NW,-121.47607,47.763755,false
81143,infrastructure,green,SW,-105.91579,38.142453,false
22626,controller,green,E,-78.4011,38.980286,false
68376,controller,green,MT,-95.9426,40.172733,false
